DATASET:Authors,39826,Alberti et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET:Authors,"39826, 52798","Tara Oceans Consortium, Tara Oceans Expedition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET:Title,,Sequencing methodology and access to sequence read files from the Tara Oceans Expedition (2009-2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET:Abstract,,"The Tara Oceans Expedition (2009-2013) sampled the world oceans on board a 36 m long schooner, collecting environmental data and organisms from viruses to planktonic metazoans for later analyses using modern sequencing and state-of-the-art imaging technologies. Tara Oceans Data are particularly suited to study the genetic, morphological and functional diversity of plankton. The present data set provides URLs to sequence read files available from samples analysed to date, along with their corresponding contextual data and sequencing methods described in details in the companion data article.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET:Project,4139,TOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET:Project,4148,TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET:Related to,"65449, 65450","Alberti et al. (2017), Pesant et al. (2015), Pesant et al. (2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET:Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN:DS PARAMETER ID,16065,16065,16065,102005,500000,139620,139619,3,4,139766,139765,145407,16119,790,,,,,54242,,,,54242,54242,,,,,,,,,,
PAN:DS PI ID,28754,28754,28754,28754,28754,28754,28754,28754,28754,28754,28754,28754,28754,28754,,,,,28754,,,,28754,28754,,,,,,,,,,
PAN:DS METHOD ID,8725,9112,8726,8725,8725,8706,,,,9384,9384,,9384,,8726,,,,8692,8726,8726,8726,8692,8692,,,,,,,,,,
M2B3:SAMPLE ATTRIBUTE,,,,M2B3:INVESTIGATION_Site,M2B3:EVENT_Event,M2B3:ENVIRONMENT_Feature,M2B3:SAMPLE_Depth,,,M2B3:SAMPLE_Size-Fraction_Lower-Threshold,M2B3:SAMPLE_Size-Fraction_Upper-Threshold,,M2B3:SAMPLE_Protocol_Label,M2B3:SAMPLE_Title,,,,,,,,,,,,,,,,,,,,
ENA:SAMPLE ATTRIBUTE,ENA:Sample alias,ENA:Secondary accession(s),ENA:Sample accession,ENA:Sampling Station,ENA:Event Label,ENA:Environment (Feature),ENA:Depth,,,ENA:Size Fraction Lower Threshold,ENA:Size Fraction Upper Threshold,ENA:Sample material label,ENA:Protocol Label,ENA:Sample Title,,,,,,,,,,,,,,,,,,,,
PAN:DS ADD IN 4D CONFIG,"PAN:Basis of event, PAN:Campaign of event, PAN:Optional event label, PAN:Date/Time of event, PAN:Latitude of event, PAN:Longitude of event, PAN:Device of event, PAN:Comment of event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURATOR: COMMENT,"In columns 8-11 & >15 please replace ""NaN"" and ""unknown"" by """"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER ID @ COMMENT,16065@TARA_barcode#,16065@BioSamples accession number (SAMEA#),16065@ENA sample accession number (ERS#),102005@TARA_station#,500000@TARA_event-datetime_station#_event-type,"139620@[abbreviation], full name (ENVO:ID) from which this sample was collected",139619@from which this sample was collected,3@from which this sample was collected,4@from which this sample was collected,139766@used on board to prepare samples,139765@used on board to prepare samples,145407@TARA_station#_environmental-feature_size-fraction,"16119@short label describing the target analysis (BGC=biogeochemistry, IMG=imaging, SEQ=sequencing), methodological specificity (e.g. volume, time, preservative, destination), and size fraction (N=sample material collected with a net, W=water collected with a pump/bottles/bucket, CW=water concentrated by tangential filtration)",790@TARA_event-datetime_station#_event-type_environmental-feature_(depth)_protocol-label_size-fraction_sample-barcode,@ENA study accession number (PRJ#),@nucleic acids preparation ,@18S and 16S rDNA amplicons generation,@Illumina libraries preparation,54242@library name,@ENA experiment accession number (ERX#),@ENA run accession number (ERR#),@ENA run alias,54242@nucleotides data file (fastq format) from ENA's sequence read archive ,54242@nucleotides data file from ENA's sequence read archive ,,,,,,,,,,
PARAMETER,Sample ID,Sample ID,Sample ID,Station label,Event label,Environmental feature,"Depth, nominal","Depth, top/min","Depth, bottom/max","Size fraction, lower threshold","Size fraction, upper threshold",Sample material,Sample method,Sample code/label,Analysis ID,Analysis method,Analysis method,Analysis method,Analysis label,Analysis ID,Analysis ID,Analysis label,Uniform resource locator/link to metadata file,Uniform resource locator/link to metadata file,,,,,,,,,,
PI,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Alberti,Alberti,Alberti,Alberti,pesant,Alberti,Alberti,Alberti,pesant,pesant,,,,,,,,,,
METHOD,"registered at PANGAEA, Data Publisher for Earth and Environmental Science (www.pangaea.de)",registered at the BioSamples database (http://www.ebi.ac.uk/biosamples/),registered at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),"registered at PANGAEA, Data Publisher for Earth and Environmental Science (www.pangaea.de)","registered at PANGAEA, Data Publisher for Earth and Environmental Science (www.pangaea.de)","terms registered at EnvO, the Environmental Ontology (http://environmentontology.org/)",,,,described in (Pesant et al. 2017),described in (Pesant et al. 2017),,described in (Pesant et al. 2017),,registered at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),,,,,registered at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),registered at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),registered at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),published at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),published at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),,,,,,,,,,
